post_title,post_name,post_parent,post_sub_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,_sku,parent_sku,parent,_children,_downloadable,_virtual,_stock,_regular_price,_sale_price,_weight,_length,_width,_height,_tax_class,_visibility,_stock_status,_backorders,_manage_stock,_tax_status,_upsell_ids,_crosssell_ids,_featured,_sale_price_dates_from,_sale_price_dates_to,_download_limit,_download_expiry,_product_url,_button_text,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_metakeywords,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:mfn-page-local-style,meta:mfn-post-hide-content,meta:mfn-post-love,meta:mfn-post-slider,meta:mfn_single_product_template,meta:redq_adults_heading_title,meta:redq_adults_placeholder,meta:redq_allowed_times,meta:redq_book_now_button_text,meta:redq_calendar_date_format,meta:redq_calendar_time_format,meta:redq_childs_heading_title,meta:redq_childs_placeholder,meta:redq_choose_european_date_format,meta:redq_dropoff_date_heading_title,meta:redq_dropoff_date_placeholder,meta:redq_dropoff_location_heading_title,meta:redq_dropoff_time_placeholder,meta:redq_email_placeholder,meta:redq_email_title,meta:redq_first_name_placeholder,meta:redq_first_name_title,meta:redq_flip_pricing_plan_text,meta:redq_last_name_placeholder,meta:redq_last_name_title,meta:redq_max_rental_days,meta:redq_max_time_late,meta:redq_message_placeholder,meta:redq_message_title,meta:redq_min_rental_days,meta:redq_password_placeholder,meta:redq_password_title,meta:redq_phone_placeholder,meta:redq_phone_title,meta:redq_pickup_date_heading_title,meta:redq_pickup_date_placeholder,meta:redq_pickup_loc_placeholder,meta:redq_pickup_location_heading_title,meta:redq_pickup_time_placeholder,meta:redq_price_discount_cost,meta:redq_rental_before_booking_block_dates,meta:redq_rental_fri_max_time,meta:redq_rental_fri_min_time,meta:redq_rental_local_enable_single_day_time_based_booking,meta:redq_rental_local_quantity_on_days,meta:redq_rental_local_required_person,meta:redq_rental_local_required_pickup_location,meta:redq_rental_local_required_return_location,meta:redq_rental_local_show_book_now,meta:redq_rental_local_show_dropoff_date,meta:redq_rental_local_show_dropoff_time,meta:redq_rental_local_show_pickup_date,meta:redq_rental_local_show_pickup_time,meta:redq_rental_local_show_price_discount_on_days,meta:redq_rental_local_show_price_instance_payment,meta:redq_rental_local_show_pricing_flip_box,meta:redq_rental_local_show_request_quote,meta:redq_rental_mon_max_time,meta:redq_rental_mon_min_time,meta:redq_rental_off_days,meta:redq_rental_post_booking_block_dates,meta:redq_rental_required_local_pickup_time,meta:redq_rental_required_local_return_time,meta:redq_rental_sat_max_time,meta:redq_rental_sat_min_time,meta:redq_rental_starting_block_dates,meta:redq_rental_sun_max_time,meta:redq_rental_sun_min_time,meta:redq_rental_thu_max_time,meta:redq_rental_thu_min_time,meta:redq_rental_thur_max_time,meta:redq_rental_thur_min_time,meta:redq_rental_wed_max_time,meta:redq_rental_wed_min_time,meta:redq_resources_heading_title,meta:redq_return_loc_placeholder,meta:redq_rfq_button_text,meta:redq_rnb_cat_heading,meta:redq_security_deposite_heading_title,meta:redq_submit_button_text,meta:redq_time_interval,meta:redq_username_placeholder,meta:redq_username_title,meta:rnb_booking_layout,meta:rnb_enable_quantity,meta:rnb_include_trailing_date,meta:rnb_invalid_date_range_notice,meta:rnb_inventory_title,meta:rnb_max_day_notice,meta:rnb_min_day_notice,meta:rnb_pay_extra_hours,meta:rnb_quantity_label,meta:rnb_quantity_notice,meta:rnb_settings_for_conditions,meta:rnb_settings_for_display,meta:rnb_settings_for_labels,meta:rnb_settings_for_validations,meta:rnb_show_price_type,meta:rnb_unit_price,meta:rs_page_bg_color,meta:total_sales,attribute:Gradeability,attribute_data:Gradeability,attribute_default:Gradeability,attribute:Horizontal Outreach,attribute_data:Horizontal Outreach,attribute_default:Horizontal Outreach,attribute:Lift Capacity,attribute_data:Lift Capacity,attribute_default:Lift Capacity,attribute:Manufacturer,attribute_data:Manufacturer,attribute_default:Manufacturer,attribute:Platform Height,attribute_data:Platform Height,attribute_default:Platform Height,attribute:Platform Size,attribute_data:Platform Size,attribute_default:Platform Size,attribute:Power,attribute_data:Power,attribute_default:Power,attribute:Up & Over Height,attribute_data:Up & Over Height,attribute_default:Up & Over Height,attribute:Weight,attribute_data:Weight,attribute_default:Weight,attribute:Width,attribute_data:Width,attribute_default:Width,attribute:pa_drive-type,attribute_data:pa_drive-type,attribute_default:pa_drive-type,attribute:pa_fuel-type,attribute_data:pa_fuel-type,attribute_default:pa_fuel-type,URL,ID,Category,Sub Category,Daily,Weekly,Monthly,Item Cost,Deliver to Jobsite,Retrieval From Jobsite,Environmental Fee,Tax,Estimated Cost
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5-Ton 115V Portable Air Conditioner,1.5-Ton 115V Portable Air Conditioner,Power & HVAC,Air Conditioners,250-6120,,"OTTO Plants Climate Solutions offers a complete line of 1 to 5 ton portable air conditioners. These temporary cooling units are ideal for server and equipment rooms, office spaces, healthcare facilities, retail businesses, schools, events and other commercial or industrial applications. 115v with 10' power supply cord
The OP18 has an operating range of 65 to 95 degrees F.
Digital control with programmable thermostat
5 gallon condensate tanks with auto shut off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/1.5%20ac%201.jpg?h=031b01a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-conditioners/15-ton-115v-portable-air-conditioner,250-6120,Power & HVAC,Air Conditioners,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5-ton 115V Portable Water-cooled Air Conditioner,1.5-ton 115V Portable Water-cooled Air Conditioner,Power & HVAC,Air Conditioners,250-6121,,"Let this portable air conditioner do the hard work and don't worry about venting air out of your space with this water-cooled air conditioner. OTTO Plants offers the OceanAire OWC1811 which includes standard 115V operation with a 10' power cord, electronic control with remote thermostat option, automatic water regulating valve, 50' water hose kit (quick-connect available), internal pump with safety float for condensate water removal, high-pressure safety switch, washable filters, plus locking swivel casters for easy mobility. This temporary A/C has an operating range of 65 to 105 degrees Fahrenheit. OTTO Plants Climate Solutions has a line of portable air conditioners for your cooling needs. Fume-free 115V electric operation
Standard 115V operation with a 10' power cord included electronic control with remote thermostat option available
Requires a standard water faucet with a drain or a condenser/chilled water loop
Remove up to 1.5 tons of hot air per hour
Uses: Ideal for server and equipment rooms, office spaces, healthcare facilities, retail businesses, schools, events and other commercial or industrial applications where venting hot air is not possible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2019-02/CC%20250-6121%201.5-Ton%20115V%20Portable%20Water%20Cooled%20AC-Dehu%20OceanAire%20OWC18.png?h=0d27ee61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-conditioners/15-ton-115v-portable-water-cooled-air-conditioner,250-6121,Power & HVAC,Air Conditioners,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.5KW Portable Space Heater, 110V, Electric Powered","1.5KW Portable Space Heater, 110V, Electric Powered",Power & HVAC,Heaters,250-3428,,"Bring the heat to your office or retail space, indoor jobsite or event tent with this 1.5kW portable space heater. Plug it into a standard outlet and you are ready to go. This equipment can handle light commercial or residential duty and includes a 10' power cord for increased convenience. Plug into a standard outlet
Safe, clean and combustion-free heat
Ideal for residential or light commercial duty
Includes 10' electric cord",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2019-02/CC%20250-3428%201.5KW%20115V%20%20Electric%20Heater%20Patron%20E1.5.png?h=7e736bc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/heaters/15kw-portable-space-heater-110v-electric-powered,250-3428,Power & HVAC,Heaters,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-ton Air-cooled Chiller System, 460V, Electric Powered","10-ton Air-cooled Chiller System, 460V, Electric Powered",Power & HVAC,Air Chillers And Air Systems,244-0110,,"Chill your indoor site, factory floor or other industrial space with this air-cooled chiller. This system is installed outdoors and pumps condensed cool air inside. These efficient coolers are ideal for large indoor sites and are designed to mate with your existing pipe system with flexible hoses, pipes, and adapters available. Trust OTTO Plants with the climate solutions for your needs. Unit dimensions 74'' x 95"" x 61''
Load limiting capabilities to match power system
Remove up to 10 tons of heat per hour
Trailer and skid mounted with forklift pockets and lifting eyes for easy on-site positioning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2019-03/244-0110_2.jpg?h=068bb66e https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/244/244-0110_2.jpg?h=fdf4e4af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-chillers-and-air-systems/10-ton-air-cooled-chiller-system-460v-electric-powered,244-0110,Power & HVAC,Air Chillers And Air Systems,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-ton Light Commercial Air Conditioner, Electric Powered","10-ton Light Commercial Air Conditioner, Electric Powered",Power & HVAC,Air Conditioners,244-2509,,"Cool your jobsite, event, tent or warehouse with this static commercial A/C unit. This 10-ton unit can handle light commercial duty. It has a high-efficiency compressor, and roof installation is also possible. OTTO Plants has climate solutions available for your jobsite, plant, event tent or warehouse. High-efficiency compressor
High-capacity outdoor air conditioner unit
Roof installation available
Remove up to 10 tons of heat per hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2019-03/244-2509.png?h=5ee18d87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-conditioners/10-ton-light-commercial-air-conditioner-electric-powered,244-2509,Power & HVAC,Air Conditioners,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-ton Vertical Air Conditioner, 440V Electric Powered","10-ton Vertical Air Conditioner, 440V Electric Powered",Power & HVAC,Air Conditioners,244-2512,,"If you need serious cooling but have limited floor space, this 10-ton vertical air conditioning unit can remove up to 10 tons of heat per hour. This temporary AC is designed to fit in narrow areas and has eyelets installed for easy transport and installation by forklift. OTTO Plants has climate solutions available for your jobsite, event, tent or warehouse. High efficiency and low noise
Unit dimensions 36"" x 72"" x 93""
25 kW of heat
Remove up to 10 tons of heat per hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/244/244-2512_3.jpg?h=468eb089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-conditioners/10-ton-vertical-air-conditioner-440v-electric-powered,244-2512,Power & HVAC,Air Conditioners,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100-ton Air Handler, 460V, Electric Powered","100-ton Air Handler, 460V, Electric Powered",Power & HVAC,Air Chillers And Air Systems,244-3400,,"Chill your indoor site, factory floor or other industrial space with this 100-ton air handler. This system is installed indoors and removes hot air through a chilled water supply and returns cool air into the building. These efficient handlers are ideal for large indoor sites and they have forklift pockets for easy positioning. Trust OTTO Plants with the climate solutions for your needs. Air flows up to 24,000 cubic feet per minute
Unit dimensions 96"" x 48"" x 96""
3"" Victaulic chilled water supply and return for increased flexibility and durability
Remove up to 100 tons of heat per hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2019-03/244-3400_3.jpg?h=b9a2a4b0 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/244/244-3400_3.jpg?h=3bde100d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-chillers-and-air-systems/100-ton-air-handler-460v-electric-powered,244-3400,Power & HVAC,Air Chillers And Air Systems,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100-ton Air-cooled Chiller System, 460V, Electric Powered","100-ton Air-cooled Chiller System, 460V, Electric Powered",Power & HVAC,Air Chillers And Air Systems,244-0240,,"Chill your indoor site, factory floor or other industrial space with this air-cooled chiller. This system is installed outdoors and pumps condensed cool air inside through piping. The chiller system has a computer thermostat control and flow meter, and flexible hoses, pipes, and adapters. The systems are designed to fit with your existing infrastructure. Trust OTTO Plants with the climate solutions for your needs. Remove up to 100 tons of heat per hour
Flexible hoses, pipes and adapters available — mate with your existing system or create a new one
Load limiting capabilities to match power system
Trailer and skid mounted with forklift pockets and lifting eyes for easy on-site positioning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2019-03/244-0240_3.jpg?h=f45367f6 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/244/244-0240_3.jpg?h=bfa41935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-chillers-and-air-systems/100-ton-air-cooled-chiller-system-460v-electric-powered,244-0240,Power & HVAC,Air Chillers And Air Systems,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100kW Portable Resistive Load Bank,100kW Portable Resistive Load Bank,Power & HVAC,Load Banks,241-0100,,"OTTO Plants offers a wide variety of load banks to test unity, leading or lagging power factor on electrical systems. This 100kW load tester is ideal for testing generator load and heat load for A/C units and large chiller systems. It has a compact footprint and easy setup. It's ideal for residential or light commercial duty. Compact footprint for limited space
Test loads of your electric system up to 100kW
Resistive AC load bank to test generators or air conditioning systems
Ideal for light commercial duty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/241/241-0100.png?h=856ffeb6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/load-banks/100kw-portable-resistive-load-bank,241-0100,Power & HVAC,Load Banks,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100kW Towable Diesel Generator,100kW Towable Diesel Generator,Power & HVAC,Diesel Generators,240-3231,,"OTTO Plants offers a complete line of towable industrial generators for remote site power or emergency backup. This 100-kilowatt generator is mounted on a trailer for maximum convenience. Voltage regulator controls the voltage to within 1%. Large fuel tanks are built into the skid, allowing long operation for this on- or off-highway legal trailer. Large fuel tank to maximize uptime
Emergency stop switch included
Voltage selector switch and multiple outlets
Transported by skid trailer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2019-03/240-3231_5.jpg?h=d696999f https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/240/240-3231_5.jpg?h=3b5b477a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/diesel-generators/100kw-towable-diesel-generator,240-3231,Power & HVAC,Diesel Generators,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-ton Portable Air Conditioner with Heat, 208V Electric Powered","12-ton Portable Air Conditioner with Heat, 208V Electric Powered",Power & HVAC,Air Conditioners,244-2514,,"If you need serious cooling or heating, this 12-ton temporary air conditioning unit can remove up to 12 tons of heat per hour. This light commercial A/C has wheels for moving into place and an internal pump with safety float for condensate water removal. This unit also provides heat so you can have a solution for every time of year. It can even operate at temperatures below freezing. OTTO Plants Climate Solutions has an entire line of coolers and heaters for your jobsite, event, tent or warehouse. 208V fume-free electric operation, must be hardwired by a qualified technician
Operates at temperatures below freezing
Heat or cool up to 12 tons of air per hour
High-efficiency and low noise
Uses: Ideal for heating or cooling large spaces such as jobsites, office spaces, event tents and other commercial and industrial applications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2019-02/12%20Ton24%20KW%20208V%20Mobile%20Air%20Conditioner%20with%20Electric%20Heat.jpg?h=a68d1c15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-conditioners/12-ton-portable-air-conditioner-heat-208v-electric-powered,244-2514,Power & HVAC,Air Conditioners,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-ton Portable Air Conditioner with Heat, 480V Electric Powered","12-ton Portable Air Conditioner with Heat, 480V Electric Powered",Power & HVAC,Air Conditioners,244-2515,,"If you need serious cooling or heating, this 12-ton temporary air conditioning unit can remove up to 12 tons of heat per hour. This light commercial A/C has wheels for moving into place and an internal pump with safety float for condensate water removal. This unit also provides heat so you can have a solution for every time of year. It can even operate at temperatures below freezing. OTTO Plants Climate Solutions has an entire line of coolers and heaters for your jobsite, event, tent or warehouse. 480V fume-free electric operation, must be hardwired by a qualified technician
Operates at temperatures below freezing
Heat or cool up to 12 tons of air per hour
High-efficiency and low noise
Uses: Ideal for heating or cooling large spaces such as jobsites, office spaces, event tents and other commercial and industrial applications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2019-04/last%20climate%20pic.jpg?h=3fbc7038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-conditioners/12-ton-portable-air-conditioner-heat-480v-electric-powered,244-2515,Power & HVAC,Air Conditioners,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-ton Portable Air Conditioner, 208V, Electric Powered","12-ton Portable Air Conditioner, 208V, Electric Powered",Power & HVAC,Air Conditioners,244-2513,,"If you need serious cooling or heating, this 12-ton temporary air conditioning unit can remove up to 12 tons of heat per hour. This light commercial A/C has wheels for moving into place and an internal pump with safety float for condensate water removal. OTTO Plants Climate Solutions has an entire line of cooling products for your jobsite, event, tent or warehouse. 208V fume-free electric operation, must be hardwired by a qualified technician
Can remove up to 12 tons of heat per hour
High-efficiency and low noise
Casters for ease of installation
Internal pump with safety float for condensate water removal
Uses: Ideal for heating or cooling large spaces such as jobsites, office spaces, event tents, and other commercial and industrial applications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-08/CC%20244-2513%2012-Ton%20208V%20Mobile%20AC%20Kwikool%20KPO12-23.png?h=282e8dcc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/power-hvac/air-conditioners/12-ton-portable-air-conditioner-208v-electric-powered,244-2513,Power & HVAC,Air Conditioners,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
